word,0,1,2,3,4,5
01 Multiple,1,2,413,712,1778,2902
01 Side,1,1,32,880,18910,48443
01 Side Constraint,1,1,2,2,4,66
03 June 23,3,4,11,46,86,138
0L Systems,5,14,2721,5188,5761,6528
1,1168,49981,49981,49981,49981,49981
1 1992,1,28,352,619,1750,49647
1 Lambdaevolution,1,1,1,1,1,6
10 Simple,1,1,205,472,3089,10054
1013 1990,1,2,12,71,163,438
103,3,259,2109,49981,49981,49981
10Bit 20MHz,1,1,1,1,1,1
11,90,1168,49981,49981,49981,49981
11 4,1,51,773,49646,49981,49981
11 Part,1,1,573,3196,21519,48821
1112 1999 Selected,1,1,1,2,7,10
121 Normdev,1,1,1,1,1,20
1213,2,37,490,2472,49981,49981
12Subiteration 3D,1,1,1,1,2,3
13,80,1854,49981,49981,49981,49981
14,66,1369,49981,49981,49981,49981
1410 Fortran,1,1,2,2,38,45
148,2,228,1486,49981,49981,49981
15 Gbs Link,1,1,1,1,2,53
1619,7,61,629,1463,49981,49981
16V,1,70,5843,49981,49981,49981
175,3,127,1436,49981,49981,49981
176 Gbit Solid State,1,1,1,1,1,1
1819 1997,1,3,17,76,175,416
19251969,1,1,3,38,219,489
1963,2,61,628,2097,49981,49981
1973 The,1,1,2,22,1792,15156
1979 Proceedings,2,32,155,178,292,357
1983,10,149,631,2070,49981,49981
1984 Selected,1,2,11,12,31,46
1986,19,155,609,1548,49981,49981
1986 ICDE 1986,1,1,1,1,1,2
1986 Proceedings,5,38,157,182,292,357
1987,19,193,593,1502,49981,49981
19871991,1,1,4,39,238,509
1990,23,345,675,1604,49981,49981
1990s,4,26,348,724,45782,49981
1991 Proceedings,13,118,156,177,292,357
1993,28,352,602,1986,49981,49981
1993 National,1,1,1,1,44,164
1994 Call for,1,1,1,1,4,15
1994 Edinburgh,1,1,2,2,5,5
1995,28,345,593,1467,49981,49981
1996,34,361,587,1463,49981,49981
1996 Bethesda,1,1,1,1,1,2
1996 Delft,1,1,1,2,21,136
1997,49,385,571,1415,49981,49981
1997 Proceedings,18,126,154,178,292,357
1998,47,430,588,1425,49981,49981
1998 Singapore,1,1,1,1,9,9
1999,51,361,538,1322,49981,49981
1999 Munich Germany,1,1,1,1,1,1
1999 Proceedings,19,127,153,177,292,357
1999 Proceedings ACM,1,1,1,2,23,127
1f,2,33916,49981,49981,49981,49981
1outofn CMOS,1,1,1,2,2,13
2,1256,49981,49981,49981,49981,49981
2 1999,4,63,352,519,1249,49647
2 Dimensions pi,1,1,3,23,91,206
2 Examples and,1,1,4,7,26,123
2 Matrix,1,103,234,437,4616,36522
2 Tracing Local,1,1,1,1,1,32
20 Jahre GI,1,1,1,3,4,28
2000,88,313,449,1548,49981,49981
2000 Databases,1,1,1,1,507,1311
2000 IFIPACM,1,1,1,1,2,3
2000 Server based on,1,1,1,1,1,1
2000 World Wide,1,1,1,1,49,61
2001,71,297,663,2054,49981,49981
2001 A,6,73,253,530,17206,49687
2001 Interactive,1,1,1,1,239,404
2001 July 2225,1,1,1,1,1,5
2001 Macau China,1,1,1,1,1,1
2001 Revised,8,19,19,20,30,53
2001 vom 28,1,1,2,3,3,46
2002,72,295,553,1548,49981,49981
2002 Bisbane,1,1,1,1,3,23
2002 Montpellier,1,1,1,1,2,3
2002 Washington DC,2,3,3,4,8,8
2003,42,290,506,2188,49981,49981
2010,2,287,648,2054,49981,49981
2010 Project,1,1,1,3,300,509
2048 Mbs modems for,1,1,1,1,1,1
21 FormationFlying,1,1,1,1,1,1
23,50,1947,49981,49981,49981,49981
23 February 1998,1,1,1,5,7,16
23 Trees,2,2,297,655,4025,24428
24 kbs and,1,1,2,3,99,3948
25 nLower,1,1,1,82,489,3340
25 nLower Bound on,1,1,1,13,21,60
2527,9,25,240,1634,49981,49981
26,68,1477,49981,49981,49981,49981
28,42,1480,49981,49981,49981,49981
297 Eigenvalues and,1,1,1,2,3,4
2Competition Graphs,1,1,2,2,2,3
2Core of a,1,1,4,68,1604,10240
2D,114,17183,49981,49981,49981,49981
2D Affine Space,1,1,1,2,2,5
2D HMM with,1,1,1,2,13,111
2D Optical Images,1,1,2,3,4,19
2D PseudoWigner,1,1,1,1,1,3
2D vector fields,1,1,2,3,5,7
2D3D,2,6,776,17393,49981,49981
2Isomorphism,1,36,39,78,102,133
2n Circulant Over,1,1,1,1,2,4
2n1Stage,1,1,6,81,3590,24651
2nd Edition,1,3,13,29,424,2586
2nd year,1,1,79,1566,13174,41553
2ndOrder Equational,1,1,1,2,2,2
2pi interpolative,1,1,1,1,4,35
3,965,49981,49981,49981,49981,49981
3 32,1,39,1470,49646,49981,49981
3 32 Pyramide,1,1,1,1,4,14
3 4 Performance,1,1,14,694,1207,1228
3 for,2,13517,20041,46498,49872,49981
30,51,1519,49981,49981,49981,49981
30 Kernel,1,1,81,102,172,5578
30 November,3,5,40,41,45,383
30 October 2,1,2,18,51,53,56
3090Class Processor,1,1,1,1,1,1
31 August 6 1999,1,2,2,2,3,7
32bit,2,6,237,21334,49674,49981
33,9,965,49981,49981,49981,49981
385,1,55,1533,49981,49981,49981
3D,413,16758,49981,49981,49981,49981
3D Character,1,2,300,450,458,484
3D Databases,2,2,507,1312,1543,1718
3D Fluid Flows on,1,1,1,1,2,5
3D Graphic,7,10,146,231,1214,2208
3D Maps with Mobile,1,1,1,1,1,1
3D Object,26,32,1047,1386,1596,5152
3D Objects,9,30,326,1099,1392,1922
3D Photography on,1,1,1,1,3,7
3D Position Analysis,1,1,1,2,2,11
3D Reconstruction,9,9,110,150,207,426
3D Structure,7,11,732,1113,1391,1464
3D Structures,5,7,293,805,1138,1397
3D Synthetic,1,1,18,33,285,431
3D informations,1,2,11,308,1347,1729
3D nonlinear,1,2,27,133,183,340
3D texture mapping,1,1,2,3,8,11
3D the case,1,1,7,16,338,4349
3D unsteady,1,1,2,6,10,32
3DDatenstzen der,1,1,2,2,2,2
3DGraphics into,1,1,2,2,14,51
3DM is,1,1,43,3854,30237,49884
3DM is NPComplete,1,1,1,7,10,17
3Dfrom2D Using,1,1,1,1,1,3
3Primes FFT,1,1,1,1,9,68
3SAT Algorithm,1,4,7,116,2135,2680
3Server,1,210,316,1662,18740,46270
3Tier,2,14,1821,35255,49911,49981
3coloring,1,11,63,261,1967,15854
3gppMAC,1,1,1,4,81,11296
4,435,49981,49981,49981,49981,49981
4 A System,1,39,150,4841,5709,6893
4 as an example,1,1,6,8,11,21
4 determinant,1,7,23,95,256,427
40 generic,1,1,18,147,719,2541
429,2,70,1848,49981,49981,49981
46,17,750,49981,49981,49981,49981
46 1996 Proceedings,1,5,35,126,154,180
46 2001 Proceedings,1,6,25,73,78,119
47 June 2002,1,2,5,7,36,61
4D cardiac MR images,1,1,1,2,2,2
4d splatting,1,1,2,10,41,372
4th,30,16106,49076,49981,49981,49981
4th International,20,137,190,325,352,361
5,391,49981,49981,49981,49981,49981
5 Workshop,3,205,226,244,511,1366
500,10,391,1016,49981,49981,49981
500MHz,1,5,10,31,451,24019
5211,1,15,285,2015,49981,49981
54 80,1,1,53,937,49645,49981
555,2,15,391,49981,49981,49981
59,8,920,49981,49981,49981,49981
