word, delta, card(s)
810 2002 Proceedings,0,435:39:12:10:5:5:5:1:1:1:1:1:1:1:1:1:1:1:1:1
810 2002 Proceedings,1,49981:1297:209:86:25:18:17:7:7:4:4:4:4:4:4:4:4:4:4:4
810 2002 Proceedings,2,49981:49981:1577:1011:187:86:78:33:30:18:14:14:14:14:14:14:14:14:14:14
810 2002 Proceedings,3,49981:49981:49981:49646:1471:440:282:128:116:73:60:56:56:56:56:56:56:56:56:56
A DIstributed,0,23946:8095:417:1:1:1:1:1:1:1:1:1:1
A DIstributed,1,49981:49685:18311:479:145:86:85:85:85:85:85:85:85
A DIstributed,2,49981:49981:49695:24872:5159:1943:1378:1348:1335:1335:1333:1104:1102
A DIstributed,3,49981:49981:49981:49731:35678:19232:4455:2163:1704:1673:1672:1612:1382
A Grid Architecture,0,23946:8095:279:72:3:3:2:1:1:1:1:1:1:1:1:1:1:1:1
A Grid Architecture,1,49981:49685:12123:2754:280:150:71:15:3:3:3:3:3:3:3:3:3:3:3
A Grid Architecture,2,49981:49981:49689:28045:5583:544:171:74:20:4:4:4:4:4:4:4:4:4:4
A Grid Architecture,3,49981:49981:49981:49877:43508:8651:1119:212:84:26:10:7:7:7:7:7:7:7:7
A MetaLanguage,0,23946:8095:599:168:116:11:2:2:2:2:2:2:2:2
A MetaLanguage,1,49981:49685:18941:5149:1557:293:19:5:4:4:4:4:4:4
A MetaLanguage,2,49981:49981:49700:38259:11543:2462:298:59:6:5:5:5:5:5
A MetaLanguage,3,49981:49981:49981:49847:44888:22760:2493:400:108:20:14:14:14:14
A Phenomenological,0,23946:8095:683:10:1:1:1:1:1:1:1:1:1:1:1:1:1:1
A Phenomenological,1,49981:49685:20399:1113:200:15:13:11:11:11:3:1:1:1:1:1:1:1
A Phenomenological,2,49981:49981:49730:28236:13997:606:70:17:15:14:13:6:3:3:2:2:2:2
A Phenomenological,3,49981:49981:49981:49755:44301:19511:2331:236:114:16:14:13:6:3:3:2:2:2
